2021-Oct-08 Fri 00:00:06.420 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:01:16.447 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 15 ms to process queue
2021-Oct-08 Fri 00:01:26.422 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:01:26.423 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:01:26.423 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 3 ms to process queue
2021-Oct-08 Fri 00:01:36.422 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:01:36.424 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:01:36.424 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 5 ms to process queue
2021-Oct-08 Fri 00:01:46.433 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:01:46.434 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:01:46.434 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 7 ms to process queue
2021-Oct-08 Fri 00:01:56.436 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:01:56.438 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:01:56.438 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 10 ms to process queue
2021-Oct-08 Fri 00:02:06.478 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:02:06.481 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:02:06.481 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 13 ms to process queue
2021-Oct-08 Fri 00:02:16.427 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:02:16.430 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:02:16.430 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 7 ms to process queue
2021-Oct-08 Fri 00:02:26.489 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:02:26.490 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:02:26.490 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 7 ms to process queue
2021-Oct-08 Fri 00:02:36.423 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:02:36.424 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:02:36.424 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 3 ms to process queue
2021-Oct-08 Fri 00:02:46.433 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:02:46.436 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:02:46.436 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 9 ms to process queue
2021-Oct-08 Fri 00:02:56.500 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:02:56.503 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:02:56.503 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 12 ms to process queue
2021-Oct-08 Fri 00:03:06.483 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:03:06.485 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:03:06.486 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 15 ms to process queue
2021-Oct-08 Fri 00:03:16.488 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:03:16.489 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:03:16.489 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 10 ms to process queue
2021-Oct-08 Fri 00:03:26.485 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:03:26.487 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:03:26.487 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 10 ms to process queue
2021-Oct-08 Fri 00:03:36.420 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:03:36.421 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:03:36.421 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 3 ms to process queue
2021-Oct-08 Fri 00:03:46.422 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:03:46.424 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:03:46.424 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 4 ms to process queue
2021-Oct-08 Fri 00:03:56.477 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:03:56.480 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:03:56.480 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 8 ms to process queue
2021-Oct-08 Fri 00:04:06.444 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:04:06.447 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:04:06.447 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 12 ms to process queue
2021-Oct-08 Fri 00:04:16.480 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:04:16.483 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:04:16.483 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 14 ms to process queue
2021-Oct-08 Fri 00:04:26.426 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:04:26.427 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:04:26.427 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 5 ms to process queue
2021-Oct-08 Fri 00:04:26.845 INFO  - com.automationanywhere.devices.quartz.job.TemporaryDevicesCleanupJob - {} - execute(TemporaryDevicesCleanupJob.java:33) - Temporary Devices - Auto Delete job is triggered
2021-Oct-08 Fri 00:04:26.853 INFO  - com.automationanywhere.devices.service.impl.DeviceAutoDeleteServiceImpl - {} - autoDeleteDevices(DeviceAutoDeleteServiceImpl.java:126) - Preparing to delete the temporary devices
2021-Oct-08 Fri 00:04:26.861 INFO  - com.automationanywhere.devices.service.impl.DeviceAutoDeleteServiceImpl - {} - autoDeleteDevices(DeviceAutoDeleteServiceImpl.java:131) - No temporary devices are disconnected for 1439 minutes that can be deleted
2021-Oct-08 Fri 00:04:26.864 INFO  - com.automationanywhere.devices.service.impl.DeviceAutoDeleteServiceImpl - {} - autoDeleteDevices(DeviceAutoDeleteServiceImpl.java:126) - Preparing to delete the temporary devices
2021-Oct-08 Fri 00:04:26.874 INFO  - com.automationanywhere.devices.service.impl.DeviceAutoDeleteServiceImpl - {} - autoDeleteDevices(DeviceAutoDeleteServiceImpl.java:131) - No temporary devices are disconnected for 1439 minutes that can be deleted
2021-Oct-08 Fri 00:04:26.876 INFO  - com.automationanywhere.devices.service.impl.DeviceAutoDeleteServiceImpl - {} - autoDeleteDevices(DeviceAutoDeleteServiceImpl.java:126) - Preparing to delete the temporary devices
2021-Oct-08 Fri 00:04:26.880 INFO  - com.automationanywhere.devices.service.impl.DeviceAutoDeleteServiceImpl - {} - autoDeleteDevices(DeviceAutoDeleteServiceImpl.java:131) - No temporary devices are disconnected for 1439 minutes that can be deleted
2021-Oct-08 Fri 00:04:36.421 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:04:36.422 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:04:36.422 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 3 ms to process queue
2021-Oct-08 Fri 00:04:46.443 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:04:46.446 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:04:46.446 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 13 ms to process queue
2021-Oct-08 Fri 00:04:56.437 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:04:56.439 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:04:56.439 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 6 ms to process queue
2021-Oct-08 Fri 00:05:06.446 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:05:06.448 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:05:06.449 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 15 ms to process queue
2021-Oct-08 Fri 00:05:16.505 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:05:16.507 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:05:16.507 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 10 ms to process queue
2021-Oct-08 Fri 00:05:26.426 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:05:26.427 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:05:26.427 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 7 ms to process queue
2021-Oct-08 Fri 00:05:36.440 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:05:36.443 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:05:36.443 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 12 ms to process queue
2021-Oct-08 Fri 00:05:46.439 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:05:46.443 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:05:46.444 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 13 ms to process queue
2021-Oct-08 Fri 00:05:56.485 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:05:56.486 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:05:56.486 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 5 ms to process queue
2021-Oct-08 Fri 00:06:06.439 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:06:06.446 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:06:06.446 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 13 ms to process queue
2021-Oct-08 Fri 00:06:16.426 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:06:16.428 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:06:16.428 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 4 ms to process queue
2021-Oct-08 Fri 00:06:26.512 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:06:26.515 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:06:26.515 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 8 ms to process queue
2021-Oct-08 Fri 00:06:36.491 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:06:36.493 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:06:36.493 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 3 ms to process queue
2021-Oct-08 Fri 00:06:46.493 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:06:46.493 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:06:46.493 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 5 ms to process queue
2021-Oct-08 Fri 00:06:56.537 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:06:56.538 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:06:56.538 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 2 ms to process queue
2021-Oct-08 Fri 00:07:06.454 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:43) - Processing queue started
2021-Oct-08 Fri 00:07:06.457 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - processQueueAcrossTenants(ProcessDeploymentQueueJob.java:48) - Queue empty nothing to process
2021-Oct-08 Fri 00:07:06.457 INFO  - com.automationanywhere.devices.quartz.job.ProcessDeploymentQueueJob - {} - execute(ProcessDeploymentQueueJob.java:33) - Took 10 ms to process queue
